County,MedianHouseholdIncome,TotalPopulation,PopAbove20,Citizens,MedianAge,PctMale,PctWhite,PctCollegePlusEdu,PctUninsured,PctForeignBorn,PctNonCitizen,PctDisability,PctUnemployed,PctSSI,PctOASDI,MedianHousingCosts,PctReligious,WoodardAmericanNation,LandAreaSqMiles,NCHS_UrbanRural2013,State,FoundryCounty,MexicanBorderCounty
13167,34438,9794,7457,9794,39.6,55.5%,63.6%,10.1%,16.9%,0.9%,0.0%,17.6%,6.3%,6.0%,0.022,541,0.452011436,Deep South,303.0103972,Micropolitan (nonmetropolitan),13,FALSE,FALSE
13169,51857,28738,20983,28607,39.4,48.7%,73.3%,18.3%,13.9%,0.9%,0.5%,14.3%,4.8%,1.3%,0.005,859,0.371633377,Deep South,393.9368224,Small metro,13,FALSE,FALSE
13171,40344,18114,13065,17930,38.6,47.8%,68.4%,15.2%,17.3%,2.1%,1.0%,14.2%,6.3%,2.9%,0.011,704,0.625262228,Deep South,183.4999831,Large fringe metro,13,FALSE,FALSE
13173,37605,10403,7589,10283,33.6,50.3%,73.4%,14.8%,20.6%,1.9%,1.2%,18.6%,5.6%,3.2%,0.013,671,0.365279246,Deep South,185.2916547,Small metro,13,FALSE,FALSE
13175,32356,47886,34864,47160,38.5,47.6%,62.1%,14.9%,15.0%,2.3%,1.5%,12.6%,7.0%,4.6%,0.016,521,0.599820407,Deep South,807.3019981,Micropolitan (nonmetropolitan),13,FALSE,FALSE
13177,61537,28946,20427,28515,36.7,50.1%,76.7%,21.7%,10.6%,3.6%,1.5%,10.4%,4.7%,1.6%,0.005,1044,0.343708975,Deep South,355.8792052,Small metro,13,FALSE,FALSE
13179,42201,64427,43910,62885,27.6,50.7%,51.7%,15.2%,12.6%,5.7%,2.4%,11.3%,5.9%,1.9%,0.006,964,0.267372375,Deep South,516.3288465,Small metro,13,FALSE,FALSE
13181,34243,7720,6050,7682,47.2,48.0%,67.1%,14.4%,16.7%,1.5%,0.5%,18.4%,5.7%,3.2%,0.013,644,0.454663212,Deep South,210.3796483,Medium metro,13,FALSE,FALSE
13183,48863,16588,11404,15619,31.2,48.8%,66.8%,15.0%,15.3%,7.4%,5.8%,13.0%,5.6%,1.5%,0.004,804,0.190318302,Deep South,400.424685,Small metro,13,FALSE,FALSE
13185,36834,113203,80043,110206,29.4,49.1%,59.9%,18.2%,18.6%,4.0%,2.6%,12.5%,5.3%,3.4%,0.012,797,0.509429962,Deep South,496.0866911,Small metro,13,FALSE,FALSE
13187,43804,30921,23273,30026,36,49.1%,96.3%,22.7%,15.1%,3.6%,2.9%,14.9%,4.9%,1.6%,0.007,866,0.240095728,Greater Appalachia,282.9330667,Noncore (nonmetropolitan),13,FALSE,FALSE
13189,36656,21582,15385,21283,38.2,47.6%,57.1%,13.3%,18.7%,1.8%,1.4%,15.5%,7.2%,4.5%,0.017,642,0.632193495,Deep South,257.4593432,Medium metro,13,FALSE,FALSE
13191,42988,14007,11086,13961,47.6,48.7%,62.9%,15.3%,17.2%,1.8%,0.3%,28.1%,6.3%,2.9%,0.013,705,0.310844578,Deep South,424.3462844,Small metro,13,FALSE,FALSE
13193,28684,14045,10813,13855,40.5,55.0%,37.5%,9.4%,19.1%,2.8%,1.4%,19.0%,11.5%,3.1%,0.013,569,0.396440014,Deep South,400.6404763,Noncore (nonmetropolitan),13,FALSE,FALSE
13195,41912,28232,21049,27550,40.2,49.4%,86.1%,14.9%,16.5%,3.6%,2.4%,16.5%,4.8%,3.6%,0.012,672,0.436915557,Greater Appalachia,282.3120469,Small metro,13,FALSE,FALSE
13197,36242,8739,6438,8469,41.7,50.3%,60.7%,10.5%,21.9%,4.5%,3.1%,17.3%,6.9%,3.2%,0.011,587,0.341457833,Deep South,366.016432,Medium metro,13,FALSE,FALSE
13199,35832,21297,15986,21123,42.1,47.8%,59.4%,9.6%,17.6%,1.2%,0.8%,20.0%,6.4%,4.3%,0.016,760,0.468657557,Deep South,501.2227617,Large fringe metro,13,FALSE,FALSE
13201,33983,5936,4394,5927,41,47.8%,68.8%,11.5%,16.7%,0.2%,0.2%,15.0%,5.1%,5.2%,0.017,595,0.395889488,Deep South,282.4209265,Noncore (nonmetropolitan),13,FALSE,FALSE
13205,31915,22982,16727,22637,37.6,52.2%,50.9%,11.4%,19.2%,1.8%,1.5%,16.5%,6.2%,4.7%,0.018,622,0.534070142,Deep South,512.0846498,Noncore (nonmetropolitan),13,FALSE,FALSE
13207,48744,26915,20382,26743,41.9,50.3%,74.4%,18.7%,13.1%,1.6%,0.6%,14.3%,5.1%,2.0%,0.008,801,0.360616756,Deep South,396.1071829,Small metro,13,FALSE,FALSE
13209,34672,8968,6644,8724,38,50.8%,71.7%,14.1%,18.0%,4.1%,2.7%,16.9%,7.2%,3.8%,0.017,553,0.409009813,Deep South,239.526374,Micropolitan (nonmetropolitan),13,FALSE,FALSE
13211,51820,17900,13160,17709,43.2,47.7%,75.8%,19.4%,13.8%,2.1%,1.1%,15.2%,5.0%,2.4%,0.009,877,0.525921788,Deep South,347.3550803,Large fringe metro,13,FALSE,FALSE
13213,35539,39401,28256,37371,37.2,48.9%,96.5%,10.5%,20.5%,7.8%,5.2%,15.5%,7.0%,3.0%,0.011,619,0.346082587,Greater Appalachia,344.4943807,Small metro,13,FALSE,FALSE
13215,42306,200285,143890,194607,33.5,49.1%,48.8%,20.8%,14.3%,5.3%,2.8%,17.2%,6.7%,3.7%,0.012,876,0.588496393,Deep South,216.421937,Medium metro,13,FALSE,FALSE
13217,49179,102645,71296,99964,35.8,47.5%,55.9%,17.4%,15.6%,5.7%,2.6%,14.6%,5.8%,2.9%,0.008,984,0.338876711,Deep South,272.1975854,Large fringe metro,13,FALSE,FALSE
13219,72182,34400,24245,33353,39.7,48.9%,89.7%,33.8%,9.9%,5.4%,3.0%,9.5%,4.0%,1.1%,0.004,1163,0.486453488,Deep South,184.3235309,Small metro,13,FALSE,FALSE
13221,44226,14688,11135,14495,42.4,49.7%,81.3%,16.8%,14.3%,1.7%,1.3%,16.7%,4.7%,2.0%,0.008,740,0.227873094,Deep South,439.0112981,Small metro,13,FALSE,FALSE
13223,60109,147400,101719,144275,35.1,48.9%,79.7%,19.8%,13.5%,4.8%,2.1%,9.6%,4.5%,1.0%,0.003,1097,0.254877883,Greater Appalachia,312.2917988,Large fringe metro,13,FALSE,FALSE
13225,41588,27086,19496,25968,34.7,48.4%,48.2%,16.9%,18.6%,5.9%,4.1%,12.8%,9.9%,4.4%,0.016,763,0.486339807,Deep South,150.2671819,Small metro,13,FALSE,FALSE
13227,54123,29740,23152,29239,44.7,50.1%,96.5%,23.4%,13.7%,3.3%,1.7%,15.9%,4.8%,2.0%,0.007,938,0.246469401,Greater Appalachia,232.0581845,Large fringe metro,13,FALSE,FALSE
13229,40247,18934,13674,18589,39,49.5%,89.3%,13.3%,19.7%,2.5%,1.8%,20.7%,5.3%,3.9%,0.015,648,0.586669483,Deep South,340.1757377,Micropolitan (nonmetropolitan),13,FALSE,FALSE
13231,51338,17812,12822,17706,38.9,49.0%,88.1%,16.0%,16.1%,1.1%,0.6%,12.6%,5.0%,2.3%,0.008,920,0.397990119,Deep South,216.0857613,Large fringe metro,13,FALSE,FALSE
13233,37853,41215,29372,38877,37.2,49.0%,76.8%,11.6%,18.3%,7.6%,5.7%,17.0%,5.8%,4.0%,0.014,702,0.618027417,Greater Appalachia,310.3384262,Micropolitan (nonmetropolitan),13,FALSE,FALSE
13235,38750,11590,9220,11400,41.3,42.0%,65.2%,15.3%,14.8%,2.1%,1.6%,16.4%,7.3%,3.3%,0.013,600,0.422346851,Deep South,249.0598104,Small metro,13,FALSE,FALSE
13237,44299,21247,16597,20234,45.6,49.7%,70.1%,19.5%,16.6%,6.9%,4.8%,14.8%,6.9%,2.4%,0.008,755,0.336235704,Deep South,344.6479775,Noncore (nonmetropolitan),13,FALSE,FALSE
13239,31487,2326,1822,2326,49.2,47.5%,49.9%,7.2%,18.3%,0.7%,0.0%,27.3%,8.2%,6.7%,0.028,615,0.576956148,Deep South,151.2374041,Noncore (nonmetropolitan),13,FALSE,FALSE
13241,35211,16266,12965,15421,47.8,49.1%,94.1%,23.5%,24.3%,6.8%,5.2%,16.2%,5.9%,2.6%,0.01,645,0.829091356,Greater Appalachia,370.1306424,Noncore (nonmetropolitan),13,FALSE,FALSE
13243,28377,7315,5336,7305,39.2,51.0%,35.0%,13.8%,20.6%,2.7%,0.1%,18.8%,8.1%,6.0%,0.024,564,0.573342447,Deep South,428.2360355,Noncore (nonmetropolitan),13,FALSE,FALSE
13245,37424,201291,146751,197675,33.3,48.4%,41.0%,18.2%,15.8%,3.5%,1.8%,16.4%,7.1%,4.1%,0.013,809,0.573284449,Deep South,324.3290541,Medium metro,13,FALSE,FALSE
13247,50455,86901,62011,82369,37.5,47.3%,45.6%,21.3%,18.8%,10.0%,5.2%,10.2%,5.6%,2.3%,0.006,970,0.401733007,Deep South,129.8095833,Large fringe metro,13,FALSE,FALSE
13249,39375,5074,3514,5001,38.4,49.6%,74.1%,14.8%,22.7%,1.7%,1.4%,17.8%,6.4%,2.7%,0.011,645,0.45151754,Deep South,166.9059618,Micropolitan (nonmetropolitan),13,FALSE,FALSE
13251,34466,14206,10410,14162,40,48.9%,57.7%,13.3%,18.9%,0.8%,0.3%,16.6%,7.2%,5.1%,0.02,573,0.595100662,Deep South,645.1008336,Noncore (nonmetropolitan),13,FALSE,FALSE
13253,34905,8769,6546,8687,45.1,46.9%,65.2%,14.4%,19.9%,1.4%,0.9%,17.2%,7.9%,4.8%,0.018,593,0.673851066,Deep South,235.2309411,Noncore (nonmetropolitan),13,FALSE,FALSE
13255,40246,63873,46581,62725,38.2,48.4%,64.4%,14.6%,16.4%,3.2%,1.8%,16.6%,6.5%,4.2%,0.014,824,0.732970113,Deep South,195.8827481,Large fringe metro,13,FALSE,FALSE
13257,40315,25620,19110,25190,41.2,48.2%,85.1%,15.7%,15.4%,2.4%,1.7%,19.2%,5.9%,4.7%,0.017,599,0.653942233,Greater Appalachia,179.1313488,Micropolitan (nonmetropolitan),13,FALSE,FALSE
13259,21118,5868,4764,5799,38,60.7%,31.9%,10.6%,17.7%,1.2%,1.2%,17.4%,6.0%,4.7%,0.02,469,0.34202454,Deep South,458.7484567,Noncore (nonmetropolitan),13,FALSE,FALSE
13261,32758,31429,22424,30856,34.6,47.4%,44.3%,16.1%,15.4%,2.9%,1.8%,14.7%,7.8%,4.3%,0.015,634,0.546501639,Deep South,482.6938469,Micropolitan (nonmetropolitan),13,FALSE,FALSE
13263,34078,6490,5099,6451,47.5,48.4%,42.1%,13.8%,16.1%,0.9%,0.6%,20.6%,6.8%,5.5%,0.021,607,0.378736518,Deep South,391.3886628,Noncore (nonmetropolitan),13,FALSE,FALSE
13265,26306,1721,1437,1701,47.9,48.2%,40.3%,11.3%,20.5%,1.5%,1.2%,26.0%,7.3%,6.0%,0.023,499,0.358512493,Deep South,194.6074724,Noncore (nonmetropolitan),13,FALSE,FALSE
13267,33980,25302,19443,24593,36.2,57.4%,63.7%,11.5%,14.1%,3.3%,2.8%,14.0%,5.2%,3.8%,0.014,550,0.392142914,Deep South,479.5209022,Noncore (nonmetropolitan),13,FALSE,FALSE
13269,28143,8401,6298,8351,42.6,48.0%,59.0%,11.7%,19.5%,1.0%,0.6%,15.5%,12.0%,4.9%,0.019,544,0.488513272,Deep South,376.6856849,Noncore (nonmetropolitan),13,FALSE,FALSE
13271,26449,16416,13185,16348,40.3,57.9%,58.2%,10.3%,14.6%,1.0%,0.4%,12.3%,13.6%,3.8%,0.015,496,0.398087232,Deep South,437.303391,Noncore (nonmetropolitan),13,FALSE,FALSE
13273,28688,9213,6791,9181,41,47.1%,37.3%,12.5%,19.8%,0.6%,0.3%,15.8%,6.5%,6.1%,0.025,601,0.531422989,Deep South,335.4398878,Small metro,13,FALSE,FALSE
13275,36641,44824,32905,44085,39.4,47.4%,61.1%,18.2%,17.9%,2.6%,1.6%,16.7%,6.1%,5.0%,0.018,728,0.616923969,Deep South,544.6015652,Micropolitan (nonmetropolitan),13,FALSE,FALSE
13277,37653,40787,29007,39192,35.1,48.2%,65.3%,17.2%,23.3%,6.0%,3.9%,15.3%,5.4%,4.1%,0.016,636,0.599676367,Deep South,260.8759102,Micropolitan (nonmetropolitan),13,FALSE,FALSE
13279,33679,27210,19050,25955,34.9,46.8%,68.8%,13.5%,22.7%,5.5%,4.6%,14.5%,7.0%,4.9%,0.019,599,0.68430724,Deep South,364.0057514,Micropolitan (nonmetropolitan),13,FALSE,FALSE
13281,37000,10800,8657,10680,52.4,48.3%,97.8%,22.6%,14.1%,3.3%,1.1%,17.6%,6.0%,2.4%,0.011,647,0.502777778,Greater Appalachia,166.5311241,Noncore (nonmetropolitan),13,FALSE,FALSE
13283,38596,6762,5199,6715,42.8,48.7%,70.5%,13.8%,15.1%,0.8%,0.7%,21.3%,8.5%,4.8%,0.021,453,0.425317953,Deep South,199.4357486,Noncore (nonmetropolitan),13,FALSE,FALSE
13285,41489,68867,49278,67019,36.1,48.2%,62.2%,16.0%,15.3%,4.2%,2.7%,16.7%,4.9%,3.5%,0.012,816,0.527640234,Deep South,413.9913334,Micropolitan (nonmetropolitan),13,FALSE,FALSE
13287,31806,8338,6093,8025,38,51.4%,56.5%,13.4%,22.8%,4.0%,3.8%,19.9%,6.8%,5.9%,0.024,608,0.783641161,Deep South,285.3930591,Noncore (nonmetropolitan),13,FALSE,FALSE
13289,30468,8509,6685,8496,45.6,49.1%,57.8%,10.2%,15.4%,0.2%,0.2%,20.8%,8.7%,5.0%,0.02,471,0.517217064,Deep South,358.4126651,Small metro,13,FALSE,FALSE
13291,40799,21725,17795,21412,53.3,49.0%,97.5%,23.9%,13.9%,2.3%,1.4%,20.5%,4.6%,2.2%,0.009,582,0.653394707,Greater Appalachia,321.9676718,Noncore (nonmetropolitan),13,FALSE,FALSE
13293,35774,26528,19734,26352,41.5,47.9%,71.2%,12.8%,15.5%,1.1%,0.7%,17.7%,6.8%,4.4%,0.014,669,0.595182449,Deep South,323.4366164,Micropolitan (nonmetropolitan),13,FALSE,FALSE
13295,41632,68285,51185,67890,40.4,49.4%,94.0%,15.1%,15.5%,1.1%,0.6%,19.3%,5.3%,3.3%,0.011,649,0.56082595,Greater Appalachia,446.3904733,Medium metro,13,FALSE,FALSE
13297,54453,86201,61823,84706,38.5,48.8%,81.5%,17.1%,13.2%,4.1%,1.7%,12.6%,4.7%,3.0%,0.009,974,0.391259962,Deep South,325.6870588,Large fringe metro,13,FALSE,FALSE
13299,34909,35723,26569,35010,37.9,49.7%,66.5%,13.4%,18.7%,3.3%,2.0%,18.3%,5.4%,5.0%,0.019,583,0.659575064,Deep South,892.8891478,Micropolitan (nonmetropolitan),13,FALSE,FALSE
13301,29176,5561,4280,5509,44.3,46.1%,39.2%,11.0%,16.5%,2.0%,0.9%,13.8%,7.4%,5.0%,0.019,543,0.720014386,Deep South,284.2993892,Noncore (nonmetropolitan),13,FALSE,FALSE
13303,37932,20785,15515,20592,40,50.4%,46.6%,12.8%,15.2%,1.2%,0.9%,13.1%,6.4%,4.5%,0.019,550,0.55424585,Deep South,678.4542632,Noncore (nonmetropolitan),13,FALSE,FALSE
13305,38955,30046,21973,29567,37.3,51.3%,76.5%,13.1%,20.4%,2.2%,1.6%,16.7%,6.7%,3.6%,0.013,628,0.663249684,Deep South,641.7936725,Micropolitan (nonmetropolitan),13,FALSE,FALSE
13307,37063,2720,2030,2715,41,50.4%,43.2%,10.7%,14.7%,0.2%,0.2%,21.3%,8.4%,3.1%,0.013,437,0.377205882,Deep South,209.1180556,Noncore (nonmetropolitan),13,FALSE,FALSE
13309,27620,7956,6726,7948,38.4,67.9%,58.2%,8.9%,11.0%,0.2%,0.1%,8.3%,11.6%,2.8%,0.012,385,0.242332831,Deep South,295.4844456,Noncore (nonmetropolitan),13,FALSE,FALSE
13311,40888,27791,21181,27517,43.9,48.7%,95.2%,20.7%,16.2%,2.4%,1.0%,15.4%,4.5%,2.1%,0.008,748,0.376956569,Greater Appalachia,240.6969048,Noncore (nonmetropolitan),13,FALSE,FALSE
13313,40596,103456,72487,89500,34.8,49.7%,89.8%,11.8%,22.0%,18.2%,13.5%,11.5%,5.8%,2.5%,0.009,712,0.644747526,Greater Appalachia,290.4621557,Small metro,13,FALSE,FALSE
13315,32043,8972,7006,8888,39.4,58.5%,60.0%,9.0%,12.6%,1.0%,0.9%,15.1%,7.4%,4.0%,0.015,482,0.54759251,Deep South,377.7044861,Noncore (nonmetropolitan),13,FALSE,FALSE
13317,32727,9991,7583,9738,44.4,47.3%,54.1%,13.8%,15.9%,3.2%,2.5%,17.9%,7.2%,4.7%,0.021,593,0.576819137,Deep South,469.4901465,Noncore (nonmetropolitan),13,FALSE,FALSE
13319,38485,9386,6934,9268,41.6,48.8%,61.7%,9.3%,12.3%,1.4%,1.3%,16.7%,6.5%,4.1%,0.013,515,0.48519071,Deep South,447.3152984,Noncore (nonmetropolitan),13,FALSE,FALSE
13321,37974,21156,15700,20923,40.4,48.3%,69.6%,10.9%,21.2%,1.9%,1.1%,16.1%,5.8%,3.4%,0.013,604,0.488750236,Deep South,570.7068345,Small metro,13,FALSE,FALSE
15001,52108,191482,144440,180856,41.1,50.1%,54.8%,25.3%,7.9%,11.2%,5.5%,13.1%,3.8%,2.8%,0.009,1058,0.477987487,Greater Polynesia,4028.450103,Micropolitan (nonmetropolitan),15,FALSE,FALSE
15003,74460,984178,747283,906154,36.9,50.6%,38.4%,29.1%,4.8%,18.7%,7.9%,10.2%,2.9%,1.7%,0.006,1678,0.380581561,Greater Polynesia,600.6057853,Medium metro,15,FALSE,FALSE
15007,65101,69691,52805,64175,41.6,50.2%,47.9%,28.6%,8.0%,16.4%,7.9%,10.5%,3.3%,1.4%,0.005,1363,0.380450847,Greater Polynesia,619.8840572,Micropolitan (nonmetropolitan),15,FALSE,FALSE
15009,66476,160863,121351,148475,40,50.2%,54.7%,25.1%,7.8%,17.8%,7.7%,10.3%,3.3%,1.3%,0.004,1431,0.431280033,Greater Polynesia,1161.5309,Small metro,15,FALSE,FALSE
16001,56356,417501,301274,402640,35.8,50.0%,94.0%,30.2%,11.0%,6.3%,3.6%,9.8%,3.2%,1.6%,0.005,991,0.40437987,Far West,1052.519197,Medium metro,16,FALSE,FALSE
16003,39565,3880,2995,3876,51.3,52.8%,97.8%,20.9%,19.5%,1.6%,0.1%,21.1%,5.0%,1.4%,0.009,592,0.258247423,Far West,1362.805103,Noncore (nonmetropolitan),16,FALSE,FALSE
16005,43779,83604,58654,81657,32.7,49.8%,93.2%,22.2%,12.6%,3.7%,2.3%,14.1%,3.2%,2.3%,0.008,709,0.664980144,Far West,1112.469859,Small metro,16,FALSE,FALSE
16007,48654,5939,4195,5909,39.5,50.2%,96.4%,18.4%,11.4%,2.5%,0.5%,13.5%,3.5%,1.7%,0.007,566,0.884155582,Far West,974.9681796,Noncore (nonmetropolitan),16,FALSE,FALSE
16009,39863,9088,6851,9031,45.4,50.4%,88.7%,14.4%,19.9%,1.3%,0.6%,18.3%,5.4%,2.7%,0.011,567,0.625990317,Far West,776.8647525,Noncore (nonmetropolitan),16,FALSE,FALSE
16011,50155,45407,29713,43198,32.9,50.0%,88.8%,15.7%,14.2%,7.0%,4.9%,13.0%,2.8%,2.0%,0.007,683,0.68366111,Far West,2093.856482,Micropolitan (nonmetropolitan),16,FALSE,FALSE
16013,60088,21309,15783,19444,43,50.9%,91.0%,35.4%,16.6%,13.9%,8.8%,6.7%,2.7%,0.5%,0.001,1164,0.286123234,Far West,2637.638443,Micropolitan (nonmetropolitan),16,FALSE,FALSE
16015,44238,6885,5429,6850,52,52.7%,97.0%,26.4%,14.2%,2.3%,0.5%,17.5%,4.8%,1.5%,0.007,780,0.213507625,Far West,1899.559197,Medium metro,16,FALSE,FALSE
16017,42171,41066,31861,40757,47.2,50.1%,98.0%,21.4%,16.2%,1.9%,0.8%,15.7%,4.7%,2.0%,0.007,788,0.256489553,Far West,1733.002901,Micropolitan (nonmetropolitan),16,FALSE,FALSE
16019,50762,107788,71541,104460,32.4,49.5%,92.7%,22.8%,13.2%,5.3%,3.1%,13.3%,2.8%,2.1%,0.007,813,0.706043344,Far West,1865.947117,Small metro,16,FALSE,FALSE
16021,38961,10961,8127,10783,43.7,51.1%,96.9%,17.1%,23.4%,2.3%,1.6%,16.9%,4.0%,2.3%,0.009,666,0.378432625,Far West,1268.727899,Noncore (nonmetropolitan),16,FALSE,FALSE
16023,37891,2653,1865,2571,40.9,53.7%,96.5%,15.7%,16.8%,3.8%,3.1%,16.7%,3.3%,2.8%,0.011,605,0.843196381,Far West,2236.310161,Small metro,16,FALSE,FALSE
16025,42614,1052,754,1005,42.1,51.1%,96.0%,17.1%,23.3%,5.6%,4.5%,17.1%,2.3%,1.0%,#VALUE!,891,0.293726236,Far West,1074.234233,Micropolitan (nonmetropolitan),16,FALSE,FALSE
16027,42888,198921,132878,187871,32.8,49.6%,93.4%,15.4%,17.6%,8.4%,5.6%,13.8%,3.8%,2.4%,0.008,826,0.387812247,Far West,587.3970725,Medium metro,16,FALSE,FALSE
16029,58021,6808,4778,6676,36.8,50.4%,98.6%,18.8%,7.9%,2.8%,1.9%,12.7%,3.2%,0.9%,0.002,601,0.859430082,Far West,1764.110352,Noncore (nonmetropolitan),16,FALSE,FALSE
16031,45695,23369,15109,21335,31.7,50.8%,93.8%,15.7%,19.5%,11.2%,8.7%,11.7%,2.3%,1.7%,0.006,640,0.713637725,Far West,2565.608634,Micropolitan (nonmetropolitan),16,FALSE,FALSE
16033,33672,901,584,667,32.7,48.8%,96.2%,11.2%,37.8%,27.7%,26.0%,14.0%,2.5%,0.8%,#VALUE!,626,0.391786903,Far West,1763.179602,Noncore (nonmetropolitan),16,FALSE,FALSE
16035,38837,8560,7108,8486,50.2,55.3%,96.3%,18.9%,13.0%,1.6%,0.9%,22.7%,6.9%,3.0%,0.011,573,0.330257009,Far West,2457.191451,Noncore (nonmetropolitan),16,FALSE,FALSE
16037,39457,4234,3425,4203,52,51.2%,98.6%,25.4%,14.9%,2.1%,0.7%,17.1%,4.2%,1.3%,0.005,551,0.41497402,Far West,4922.59397,Noncore (nonmetropolitan),16,FALSE,FALSE
16039,43848,26175,18539,24754,30.8,51.6%,87.6%,16.3%,12.6%,9.9%,5.4%,12.7%,3.7%,2.1%,0.007,777,0.437593123,Far West,3074.985317,Micropolitan (nonmetropolitan),16,FALSE,FALSE
16041,48133,12914,8119,12553,32.4,50.6%,97.9%,16.0%,15.1%,3.8%,2.8%,13.0%,2.4%,1.4%,0.004,768,0.948815239,Far West,663.2164353,Small metro,16,FALSE,FALSE
16043,47988,12945,8874,12489,36.3,51.6%,96.0%,19.1%,14.6%,4.3%,3.5%,12.6%,2.2%,1.2%,0.004,730,0.79212051,Far West,1863.825553,Micropolitan (nonmetropolitan),16,FALSE,FALSE
16045,40828,16731,12459,16392,44.7,50.1%,96.3%,16.9%,19.8%,3.6%,2.0%,18.7%,4.0%,2.8%,0.01,809,0.563206025,Far West,559.7917469,Medium metro,16,FALSE,FALSE
16047,39930,15233,10524,13421,36.3,51.8%,88.6%,13.3%,23.1%,15.1%,11.9%,15.8%,2.4%,1.9%,0.008,696,0.478238036,Far West,729.2836252,Noncore (nonmetropolitan),16,FALSE,FALSE
16049,38191,16312,12657,16218,48.9,52.5%,96.7%,19.4%,14.4%,1.2%,0.6%,21.0%,4.7%,2.1%,0.009,578,0.344715547,Far West,8477.322518,Noncore (nonmetropolitan),16,FALSE,FALSE
16051,51171,26792,16674,25870,31.1,50.5%,95.8%,19.6%,14.1%,4.5%,3.4%,12.2%,2.5%,1.1%,0.003,790,0.724246044,Far West,1093.760016,Small metro,16,FALSE,FALSE
16053,41630,22653,14939,19530,32.1,50.6%,94.0%,12.2%,25.9%,16.8%,13.8%,11.6%,2.6%,1.7%,0.005,737,0.588443032,Far West,597.1988885,Micropolitan (nonmetropolitan),16,FALSE,FALSE
16055,49403,145046,107050,143914,39.4,49.4%,96.8%,23.2%,15.1%,2.1%,0.8%,13.3%,4.1%,1.8%,0.007,938,0.551356122,Far West,1237.557062,Small metro,16,FALSE,FALSE
16057,42439,38339,28420,36894,28.5,51.3%,95.7%,29.9%,8.9%,4.9%,3.8%,11.4%,2.6%,1.3%,0.005,714,0.286992358,Far West,1075.861349,Micropolitan (nonmetropolitan),16,FALSE,FALSE
16059,34329,7790,6229,7759,51.2,50.5%,97.8%,21.8%,15.5%,1.7%,0.4%,20.1%,5.2%,2.5%,0.011,579,0.467008986,Far West,4563.395706,Noncore (nonmetropolitan),16,FALSE,FALSE
16061,36505,3812,2891,3759,48.2,49.4%,93.3%,16.6%,20.3%,2.2%,1.4%,21.0%,5.6%,6.3%,0.023,596,0.505508919,Far West,478.8662066,Noncore (nonmetropolitan),16,FALSE,FALSE
16063,43273,5260,3455,4758,33.8,50.9%,90.6%,10.5%,24.9%,13.3%,9.5%,13.2%,2.9%,1.4%,0.004,730,0.359695817,Far West,1201.404483,Micropolitan (nonmetropolitan),16,FALSE,FALSE
16065,32233,37916,24441,36668,23.2,50.3%,97.0%,21.2%,10.0%,4.5%,3.3%,5.9%,1.9%,0.7%,0.002,664,1.017934381,Far West,469.3080665,Micropolitan (nonmetropolitan),16,FALSE,FALSE
16067,44853,20279,14060,18279,35.5,50.7%,91.3%,12.8%,23.4%,13.1%,9.9%,12.9%,2.5%,1.9%,0.008,594,0.720942847,Far West,757.1952425,Micropolitan (nonmetropolitan),16,FALSE,FALSE
16069,48160,39779,30308,39512,41.6,49.5%,92.6%,22.1%,12.5%,1.4%,0.7%,17.3%,2.9%,2.4%,0.008,783,0.290102818,Far West,848.2889465,Small metro,16,FALSE,FALSE
16071,41338,4245,2933,4190,39,51.4%,99.5%,14.4%,10.9%,1.9%,1.3%,14.6%,3.1%,1.4%,0.004,750,0.850176678,Far West,1198.842844,Noncore (nonmetropolitan),16,FALSE,FALSE
16073,33440,11364,7909,10379,37.5,51.6%,91.5%,10.5%,27.1%,10.6%,8.7%,15.3%,3.5%,2.1%,0.007,585,0.29311862,Far West,7665.994713,Medium metro,16,FALSE,FALSE
16075,44257,22700,16043,21703,38.5,50.5%,96.3%,16.3%,19.8%,5.6%,4.4%,14.7%,3.7%,2.5%,0.008,773,0.417268722,Far West,406.8965854,Micropolitan (nonmetropolitan),16,FALSE,FALSE
16077,44779,7731,5129,7176,34.2,50.6%,86.0%,10.3%,13.8%,10.5%,7.2%,16.5%,2.6%,1.4%,0.004,748,0.818393481,Far West,1403.822472,Noncore (nonmetropolitan),16,FALSE,FALSE
16079,37665,12571,9813,12462,47.1,50.3%,96.9%,17.4%,16.2%,1.9%,0.9%,20.0%,6.3%,3.7%,0.014,632,0.256861029,Far West,2637.598736,Noncore (nonmetropolitan),16,FALSE,FALSE
16081,53474,10285,7078,9355,35.2,52.3%,94.2%,30.2%,19.2%,10.5%,9.0%,9.4%,3.2%,0.6%,0.002,917,0.385999028,Far West,449.1814274,Micropolitan (nonmetropolitan),16,FALSE,FALSE
16083,44048,80004,55829,75487,34.5,49.5%,94.7%,18.6%,16.6%,7.9%,5.6%,12.4%,2.9%,2.3%,0.008,747,0.483213339,Far West,1921.76321,Micropolitan (nonmetropolitan),16,FALSE,FALSE
16085,48384,9720,7630,9684,49.4,52.0%,99.7%,28.0%,17.1%,0.5%,0.4%,19.0%,4.4%,1.2%,0.004,869,0.29218107,Far West,3665.218218,Noncore (nonmetropolitan),16,FALSE,FALSE
16087,34775,10025,7513,9634,44.9,50.7%,96.8%,13.9%,19.5%,5.6%,3.9%,20.5%,4.5%,2.7%,0.012,676,0.507630923,Far West,1452.864932,Noncore (nonmetropolitan),16,FALSE,FALSE
